#RunID	Accession
ERR753221	BCC003
ERR753263	BCC105
ERR753261	BCC107
ERR753205	BCC1481
ERR753211	BCC1487
ERR753231	BCC1589
ERR753206	BCC190
ERR753210	BCC192
ERR753212	BCC195
ERR753224	BCC197
ERR753256	BCC42
ERR753214	FT226
ERR753234	FT411
ERR753235	FT414
ERR753239	FT520
ERR753325	FT525
ERR753254	FT549
ERR753253	FT553
ERR753125	HOR10280
ERR753126	HOR10410
ERR753107	HOR10610
ERR753109	HOR10761
ERR753118	HOR10782
ERR753310	HOR11317
ERR753264	HOR12762
ERR753192	HOR1431
ERR753308	HOR154
ERR753103	HOR1707
ERR753132	HOR203
ERR753305	HOR2351
ERR753191	HOR2777
ERR753111	HOR2785
ERR753112	HOR2792
ERR753113	HOR2808
ERR753233	HOR2829
ERR753114	HOR2867
ERR753106	HOR354
ERR753102	HOR3950
ERR753129	HOR4469
ERR753283	HOR4720
ERR753101	HOR4724
ERR753193	HOR5702
ERR753131	HOR7969
ERR753213	HOR8113
ERR753128	HOR8635
ERR753104	HOR8658
ERR753217	HOR8827
ERR753130	HOR902
ERR753110	HOR937
ERR753127	HOR9453
ERR753108	HOR9607
ERR753105	HOR9919
ERR753317	SBCC147
ERR753312	SBCC158
ERR753341	FT380
ERR753262	BCC103
ERR753322	BCC108
ERR753301	BCC110
ERR753220	BCC126
ERR753209	BCC131
ERR753226	BCC1488
ERR753228	BCC1494
ERR753227	BCC1503
ERR753222	BCC167
ERR753243	BCC168
ERR753309	BCC169
ERR753223	BCC182
ERR753092	BCC185
ERR753258	BCC21
ERR753260	BCC51
ERR753318	BCC54
ERR753225	BCC761
ERR753208	FT519
ERR753240	FT521
ERR753241	FT523
ERR753237	FT524
ERR753238	FT539
ERR753255	FT554
ERR753259	FT555
ERR753257	FT561
ERR753142	HOR10103
ERR753143	HOR10130
ERR753216	HOR10152
ERR753136	HOR10350
ERR753138	HOR10360
ERR753273	HOR10551
ERR753117	HOR10609
ERR753286	HOR10627
ERR753139	HOR10705
ERR753137	HOR1133
ERR753207	HOR11403
ERR753189	HOR1192
ERR753236	HOR12830
ERR753144	HOR13416
ERR753244	HOR14153
ERR753245	HOR14279
ERR753218	HOR1463
ERR753119	HOR1758
ERR753229	HOR1804
ERR753230	HOR1842
ERR753274	HOR2766
ERR753232	HOR2800
ERR753121	HOR2854
ERR753133	HOR383
ERR753202	HOR3938
ERR753123	HOR3959
ERR753134	HOR396
ERR753120	HOR4150
ERR753200	HOR454
ERR753219	HOR6360
ERR753140	HOR713
ERR753135	HOR7380
ERR753190	HOR742
ERR753201	HOR7436
ERR753122	HOR752
ERR753124	HOR756
ERR753324	HOR758
ERR753116	HOR8455
ERR753195	HOR8826
ERR753199	HOR8842
ERR753115	HOR9827
ERR753141	HOR9888
ERR753306	SBCC002
ERR753321	SBCC003
ERR753323	SBCC014
ERR753315	SBCC095
ERR753307	SBCC144
ERR753344	FT388
ERR753343	FT390
ERR753320	HOR2458
ERR753327	HOR2462
ERR753326	HOR2465
ERR753347	100-HS8
ERR753340	93-HS1
ERR753345	94-HS2
ERR753346	95-HS3
ERR753165	FT359
