CIho_00497_S24	CIho_00497
CIho_04083_S2	CIho_04083
CIho_01468_S1	CIho_01468
CIho_04088_S4	CIho_04088
CIho_14059_S3	CIho_14059
PI_038320_S5	PI_038320
PI_061589_S6	PI_061589
PI_064004_S23	PI_064004
PI_190771_S7	PI_190771
PI_264870_S8	PI_264870
PI_264923_S9	PI_264923
PI_329043_S10	PI_329043
PI_331912_S11	PI_331912
PI_342136_S12	PI_342136
PI_350717_S13	PI_350717
PI_356711_S14	PI_356711
PI_371392_S15	PI_371392
PI_405762_S17	PI_405762
PI_422230_S20	PI_422230
PI_382296_S19	PI_382296
PI_374423_S16	PI_374423
PI_410464_S18	PI_410464
PI_513197_S21	PI_513197
PI_606311_S22	PI_606311
